No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(m/s);Windbö"(m/s);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
1;06-01-2015 09:57;5;47;18.0;74;4.2;986.8;3.1;4.1;NW;1020.9;0.0;0.1;0.0;0.0;0.0;0.0;0.0;2;3
2;06-01-2015 10:27;30;39;18.7;86;-3.3;996.4;0.0;0.3;NW;1030.5;-5.3;-3.3;0.0;0.0;0.0;0.0;0.0;0;1
3;06-01-2015 10:57;30;40;18.8;84;-2.9;996.3;0.3;1.0;SE;1030.4;-5.2;-2.9;0.0;0.0;0.0;0.0;0.0;1;1
4;06-01-2015 11:27;30;44;19.0;83;-2.8;996.1;0.0;0.3;SSW;1030.2;-5.3;-2.8;0.0;0.0;0.0;0.0;0.0;0;1
5;06-01-2015 11:57;30;42;19.0;86;-1.6;995.8;0.0;0.3;SE;1029.9;-3.6;-1.6;0.0;0.0;0.0;0.0;0.0;0;1
6;06-01-2015 12:27;30;41;19.0;85;-2.0;995.6;0.3;0.7;SE;1029.7;-4.2;-2.0;0.0;0.0;0.0;0.0;0.0;1;1
7;06-01-2015 12:57;30;41;19.0;86;-1.8;995.3;0.3;1.0;S;1029.4;-3.8;-1.8;0.0;0.0;0.0;0.0;0.0;1;1
8;06-01-2015 13:27;30;41;18.9;87;-2.0;994.9;0.3;0.7;SE;1029.0;-3.9;-2.0;0.0;0.0;0.0;0.0;0.0;1;1
9;06-01-2015 13:57;30;41;18.9;88;-1.6;994.6;0.0;0.3;SE;1028.7;-3.3;-1.6;0.0;0.0;0.0;0.0;0.0;0;1
10;06-01-2015 14:27;30;41;18.9;88;-1.4;994.3;0.3;0.7;E;1028.4;-3.1;-1.4;0.0;0.0;0.0;0.0;0.0;1;1
11;06-01-2015 14:57;30;41;18.9;89;-1.4;994.2;0.0;0.3;E;1028.3;-3.0;-1.4;0.0;0.0;0.0;0.0;0.0;0;1
12;06-01-2015 15:27;30;41;18.9;89;-1.5;994.1;0.3;0.7;SE;1028.2;-3.1;-1.5;0.0;0.0;0.0;0.0;0.0;1;1
13;06-01-2015 15:57;30;40;18.9;89;-1.6;993.7;0.0;0.3;SE;1027.8;-3.2;-1.6;0.0;0.0;0.0;0.0;0.0;0;1
14;06-01-2015 16:27;30;40;18.9;90;-1.8;994.0;0.0;0.3;SE;1028.1;-3.2;-1.8;0.0;0.0;0.0;0.0;0.0;0;1
15;06-01-2015 16:57;30;40;18.9;86;-2.1;994.0;0.0;0.3;S;1028.1;-4.1;-2.1;0.0;0.0;0.0;0.0;0.0;0;1
